"endTime","artistName","trackName","msPlayed"
"2022-05-07 17:09","Pusha T","Let The Smokers Shine The Coupes",917
"2022-05-07 17:12","Future","PUFFIN ON ZOOTIEZ",150165
"2022-05-09 00:17","Future","I'M ON ONE (feat. Drake)",11584
"2022-05-09 00:17","Future","PUFFIN ON ZOOTIEZ",5190
"2022-05-09 00:20","Future","PUFFIN ON ZOOTIEZ",155245
"2022-05-09 03:02","The Smiths","Heaven Knows I'm Miserable Now - 2011 Remaster",148714
"2022-05-09 03:04","Future","I'M ON ONE (feat. Drake)",19690
"2022-05-09 04:39","Future","I'M ON ONE (feat. Drake)",3669
"2022-05-09 04:45","Kendrick Lamar","The Heart Part 5",332362
"2022-05-09 14:55","The Smiths","Heaven Knows I'm Miserable Now - 2011 Remaster",2130
"2022-05-09 14:55","Future","I'M ON ONE (feat. Drake)",26910
"2022-05-09 14:57","Tae Retro","Phil Jackson",109220
"2022-05-09 15:00","BROCKHAMPTON","WHAT'S THE OCCASION?",38523
"2022-05-09 15:36","Kendrick Lamar","The Heart Part 5",267072
"2022-05-09 15:37","Buckshot","Over The Hills",3310
"2022-05-09 15:37","Buckshot","In The Morning",3290
"2022-05-09 15:40","Bladee","Side by Side",1890
"2022-05-09 15:40","Bladee","Thee 9 Is Up",169682
"2022-05-09 15:40","Yeat","Lying 4 fun",6010
"2022-05-09 15:40","Denzel Curry","Troubles [Feat. T-Pain]",1570
"2022-05-09 15:46","Buckshot","Barn Owls",359485
"2022-05-09 15:47","Tyler, The Creator","Jamba (feat. Hodgy)",22104
"2022-05-09 15:54","Buckshot","Hallow'd Ground",230566
"2022-05-09 15:56","Buckshot","Over The Hills",111035
"2022-05-09 16:01","Future","I'M ON ONE (feat. Drake)",294950
"2022-05-09 16:10","Kendrick Lamar","The Heart Part 5",61240
"2022-05-09 16:10","Kendrick Lamar","The Heart Part 5",3440
"2022-05-09 18:08","Bladee","Side by Side",16690
"2022-05-09 18:13","Kendrick Lamar","The Heart Part 5",332362
"2022-05-09 18:24","Playboi Carti","M3tamorphosis (feat. Kid Cudi)",11564
"2022-05-09 19:13","Kendrick Lamar","The Heart Part 5",332362
"2022-05-09 19:13","Aminé","BLACKJACK",10209
"2022-05-09 19:16","Future","VOODOO (feat. Kodak Black)",148740
"2022-05-09 19:18","Future","PUFFIN ON ZOOTIEZ",172933
"2022-05-09 19:19","Future","KEEP IT BURNIN (feat. Kanye West)",7743
"2022-05-09 19:19","Playboi Carti","M3tamorphosis (feat. Kid Cudi)",47409
"2022-05-09 19:23","Future","I'M ON ONE (feat. Drake)",205376
"2022-05-09 19:25","Pusha T","Let The Smokers Shine The Coupes",133760
"2022-05-09 19:34","Kanye West","The New Workout Plan",3860
